Priority,Type,Institute,BranchCode,Branch,Reach,Reason
1,NIT,"National Institute of Technology, Warangal",4110,Computer Science and Engineering,Out,"Top-5 NIT, home state (Telangana). Home quota = big edge. CSE — best placements & most accessible career for his condition. dream — closes ~154 (above his rank), zero cost to list on top."
2,NIT,"National Institute of Technology, Warangal",412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Out,"Top-5 NIT, home state (Telangana). Home quota = big edge. CSE+AI/DS — elite software placements, ideal desk-role fit. dream — closes ~119 (above his rank), zero cost to list on top."
3,NIT,"National Institute of Technology, Warangal",4124,Mathematics and Computing,Reach,"Top-5 NIT, home state (Telangana). Home quota = big edge. Maths & Computing — places like CSE, strong analytics/software path. reach — just short (~283); free to list."
4,NIT,"National Institute of Technology, Warangal",410Z,Electronics and Communication Engineering (VLSI Design and Technology),Out,"Top-5 NIT, home state (Telangana). Home quota = big edge. ECE-VLSI — chip/embedded, good placements, desk-based. dream — closes ~528 (above his rank), zero cost to list on top."
5,NIT,"National Institute of Technology, Warangal",4114,Electronics and Communication Engineering,Out,"Top-5 NIT, home state (Telangana). Home quota = big edge. ECE — strong circuit branch, software-convertible. dream — closes ~155 (above his rank), zero cost to list on top."
6,NIT,"National Institute of Technology, Warangal",4144,Electrical and Electronics Engineering,Reach,"Top-5 NIT, home state (Telangana). Home quota = big edge. EEE — solid circuit branch, software-convertible. reach — just short (~356); free to list."
7,NIT,"National Institute of Technology, Warangal",413O,Electrical and Electronics Engineering (Electric Mobility),No-data,"Top-5 NIT, home state (Telangana). Home quota = big edge. EEE — solid circuit branch, software-convertible. no PwD cutoff history; listed on merit."
8,NIT,"National Institute of Technology, Warangal",4125,Mechanical Engineering,Borderline,"Top-5 NIT, home state (Telangana). Home quota = big edge. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. borderline — right at the line (~455)."
9,NIT,"National Institute of Technology, Warangal",4107,Chemical Engineering,Reach,"Top-5 NIT, home state (Telangana). Home quota = big edge. Chemical — core; lab/process, brand carries it. reach — just short (~811); free to list."
10,NIT,"National Institute of Technology, Warangal",5210,Chemical Engineering,Out,"Top-5 NIT, home state (Telangana). Home quota = big edge. Chemical — core; lab/process, brand carries it. dream — closes ~31919 (above his rank), zero cost to list on top."
11,NIT,"National Institute of Technology, Warangal",4127,Metallurgical and Materials Engineering,Borderline,"Top-5 NIT, home state (Telangana). Home quota = big edge. Metallurgy/Materials — core; brand-dependent. borderline — right at the line (~1125)."
12,NIT,"National Institute of Technology, Warangal",5243,Metallurgical and Materials Engineering,Out,"Top-5 NIT, home state (Telangana). Home quota = big edge. Metallurgy/Materials — core; brand-dependent. dream — closes ~45837 (above his rank), zero cost to list on top."
13,NIT,"National Institute of Technology, Warangal",4109,Civil Engineering,Out,"Top-5 NIT, home state (Telangana). Home quota = big edge. Civil — core, more field-oriented (weigh his mobility). dream — closes ~531 (above his rank), zero cost to list on top."
14,NIT,"National Institute of Technology, Warangal",4104,Bio Technology,Reach,"Top-5 NIT, home state (Telangana). Home quota = big edge. Biotech — softer market; only as backup at a good brand. reach — just short (~850); free to list."
15,NIT,"National Institute of Technology, Warangal",5503,Chemistry,Good,"Top-5 NIT, home state (Telangana). Home quota = big edge. 5-yr integrated science — niche; backup only. likely — clears with margin (~1512)."
16,NIT,"National Institute of Technology, Warangal",5508,Mathematics,Good,"Top-5 NIT, home state (Telangana). Home quota = big edge. 5-yr integrated science — niche; backup only. likely — clears with margin (~579)."
17,NIT,"National Institute of Technology, Warangal",5507,Physics,Out,"Top-5 NIT, home state (Telangana). Home quota = big edge. 5-yr integrated science — niche; backup only. dream — closes ~17608 (above his rank), zero cost to list on top."
18,NIT,"National Institute of Technology, Tiruchirappalli",4110,Computer Science and Engineering,Out,"Top-5 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~18 (above his rank), zero cost to list on top."
19,NIT,"National Institute of Technology, Tiruchirappalli",4114,Electronics and Communication Engineering,Out,"Top-5 NIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. dream — closes ~80 (above his rank), zero cost to list on top."
20,NIT,"National Institute of Technology, Tiruchirappalli",4144,Electrical and Electronics Engineering,Out,"Top-5 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. dream — closes ~194 (above his rank), zero cost to list on top."
21,NIT,"National Institute of Technology, Tiruchirappalli",4148,Instrumentation and Control Engineering,Good,"Top-5 NIT, farther, but brand justifies. Instrumentation — circuit-adjacent, decent placements. likely — clears with margin (~503)."
22,NIT,"National Institute of Technology, Tiruchirappalli",4125,Mechanical Engineering,Out,"Top-5 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. dream — closes ~222 (above his rank), zero cost to list on top."
23,NIT,"National Institute of Technology, Tiruchirappalli",4145,Production Engineering,Good,"Top-5 NIT, farther, but brand justifies. Production/Industrial — core; decent at top NITs. likely — clears with margin (~544)."
24,NIT,"National Institute of Technology, Tiruchirappalli",4107,Chemical Engineering,Out,"Top-5 NIT, farther, but brand justifies. Chemical — core; lab/process, brand carries it. dream — closes ~196 (above his rank), zero cost to list on top."
25,NIT,"National Institute of Technology, Tiruchirappalli",4127,Metallurgical and Materials Engineering,Reach,"Top-5 NIT, farther, but brand justifies. Metallurgy/Materials — core; brand-dependent. reach — just short (~797); free to list."
26,NIT,"National Institute of Technology, Tiruchirappalli",4109,Civil Engineering,Out,"Top-5 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). dream — closes ~270 (above his rank), zero cost to list on top."
27,NIT,"National Institute of Technology Karnataka, Surathkal",4110,Computer Science and Engineering,Out,"Top-5 NIT, South/Central India, reachable. CSE — best placements & most accessible career for his condition. dream — closes ~24 (above his rank), zero cost to list on top."
28,NIT,"National Institute of Technology Karnataka, Surathkal",4185,Artificial Intelligence,Out,"Top-5 NIT, South/Central India, reachable. AI/Data Science — high-demand software track. dream — closes ~71 (above his rank), zero cost to list on top."
29,NIT,"National Institute of Technology Karnataka, Surathkal",410Q,Computational and Data Science,Out,"Top-5 NIT, South/Central India, reachable. AI/Data Science — high-demand software track. dream — closes ~1452 (above his rank), zero cost to list on top."
30,NIT,"National Institute of Technology Karnataka, Surathkal",4146,Information Technology,Out,"Top-5 NIT, South/Central India, reachable. IT — software-default, desk-based. dream — closes ~112 (above his rank), zero cost to list on top."
31,NIT,"National Institute of Technology Karnataka, Surathkal",4114,Electronics and Communication Engineering,Out,"Top-5 NIT, South/Central India, reachable. ECE — strong circuit branch, software-convertible. dream — closes ~1795 (above his rank), zero cost to list on top."
32,NIT,"National Institute of Technology Karnataka, Surathkal",4144,Electrical and Electronics Engineering,Out,"Top-5 NIT, South/Central India, reachable. EEE — solid circuit branch, software-convertible. dream — closes ~100 (above his rank), zero cost to list on top."
33,NIT,"National Institute of Technology Karnataka, Surathkal",4125,Mechanical Engineering,Out,"Top-5 NIT, South/Central India, reachable. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. dream — closes ~257 (above his rank), zero cost to list on top."
34,NIT,"National Institute of Technology Karnataka, Surathkal",4107,Chemical Engineering,Good,"Top-5 NIT, South/Central India, reachable. Chemical — core; lab/process, brand carries it. likely — clears with margin (~495)."
35,NIT,"National Institute of Technology Karnataka, Surathkal",4130,Mining Engineering,Out,"Top-5 NIT, South/Central India, reachable. core/other branch — backup at a good brand. dream — closes ~28750 (above his rank), zero cost to list on top."
36,NIT,"National Institute of Technology Karnataka, Surathkal",4127,Metallurgical and Materials Engineering,Good,"Top-5 NIT, South/Central India, reachable. Metallurgy/Materials — core; brand-dependent. likely — clears with margin (~531)."
37,NIT,"National Institute of Technology Karnataka, Surathkal",4109,Civil Engineering,Reach,"Top-5 NIT, South/Central India, reachable. Civil — core, more field-oriented (weigh his mobility). reach — just short (~368); free to list."
38,NIT,"National Institute of Technology, Rourkela",4110,Computer Science and Engineering,Out,"Top-5 NIT, South/Central India, reachable. CSE — best placements & most accessible career for his condition. dream — closes ~57 (above his rank), zero cost to list on top."
39,NIT,"National Institute of Technology, Rourkela",4185,Artificial Intelligence,Out,"Top-5 NIT, South/Central India, reachable. AI/Data Science — high-demand software track. dream — closes ~4448 (above his rank), zero cost to list on top."
40,NIT,"National Institute of Technology, Rourkela",411F,B.Tech in Mathematics and Computing,No-data,"Top-5 NIT, South/Central India, reachable. Maths & Computing — places like CSE, strong analytics/software path. no PwD cutoff history; listed on merit."
41,NIT,"National Institute of Technology, Rourkela",4114,Electronics and Communication Engineering,Out,"Top-5 NIT, South/Central India, reachable. ECE — strong circuit branch, software-convertible. dream — closes ~232 (above his rank), zero cost to list on top."
42,NIT,"National Institute of Technology, Rourkela",4142,Electronics and Instrumentation Engineering,Out,"Top-5 NIT, South/Central India, reachable. Electronics — circuit branch, desk-based. dream — closes ~3932 (above his rank), zero cost to list on top."
43,NIT,"National Institute of Technology, Rourkela",4111,Electrical Engineering,Out,"Top-5 NIT, South/Central India, reachable. EEE — solid circuit branch, software-convertible. dream — closes ~261 (above his rank), zero cost to list on top."
44,NIT,"National Institute of Technology, Rourkela",4125,Mechanical Engineering,Borderline,"Top-5 NIT, South/Central India, reachable. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. borderline — right at the line (~399)."
45,NIT,"National Institute of Technology, Rourkela",5258,Ceramic Engineering and M.Tech Industrial Ceramic,Out,"Top-5 NIT, South/Central India, reachable. Production/Industrial — core; decent at top NITs. dream — closes ~45200 (above his rank), zero cost to list on top."
