Priority,Type,Institute,BranchCode,Branch,Reach,Reason
1,NIT,"National Institute of Technology, Tiruchirappalli",4110,Computer Science and Engineering,Out,"Top-5 NIT, South/Central. CSE — best placements & most accessible for his condition. dream — closes ~18, free to list on top."
2,NIT,"National Institute of Technology Karnataka, Surathkal",4110,Computer Science and Engineering,Out,"Top-5 NIT, South/Central. CSE — best placements & most accessible for his condition. dream — closes ~24, free to list on top."
3,NIT,"National Institute of Technology, Rourkela",4110,Computer Science and Engineering,Out,"Top-5 NIT, South/Central. CSE — best placements & most accessible for his condition. dream — closes ~57, free to list on top."
4,NIT,"National Institute of Technology, Warangal",4110,Computer Science and Engineering,Out,"Top-5 NIT, home state. Home quota = big edge. CSE — best placements & most accessible for his condition. dream — closes ~154, free to list on top."
5,NIT,"National Institute of Technology Karnataka, Surathkal",410Q,Computational and Data Science,Out,"Top-5 NIT, South/Central. AI/Data Science — high-demand software track. dream — closes ~1452, free to list on top."
6,NIT,"National Institute of Technology Karnataka, Surathkal",4185,Artificial Intelligence,Out,"Top-5 NIT, South/Central. AI/Data Science — high-demand software track. dream — closes ~71, free to list on top."
7,NIT,National Institute of Technology Calicut,4110,Computer Science and Engineering,Out,"Top-5 NIT, South/Central. CSE — best placements & most accessible for his condition. dream — closes ~98, free to list on top."
8,NIT,"National Institute of Technology, Rourkela",4185,Artificial Intelligence,Out,"Top-5 NIT, South/Central. AI/Data Science — high-demand software track. dream — closes ~4448, free to list on top."
9,NIT,"National Institute of Technology, Warangal",412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Out,"Top-5 NIT, home state. Home quota = big edge. CSE+AI/DS — elite software placements, ideal desk-role fit. dream — closes ~119, free to list on top."
10,NIT,"National Institute of Technology, Rourkela",411F,B.Tech in Mathematics and Computing,No-data,"Top-5 NIT, South/Central. Maths & Computing — places like CSE. no PwD-cutoff history."
11,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4110,Computer Science and Engineering,Out,"Top-15 NIT, near Hyderabad. CSE — best placements & most accessible for his condition. dream — closes ~122, free to list on top."
12,NIT,"National Institute of Technology Karnataka, Surathkal",4146,Information Technology,Out,"Top-5 NIT, South/Central. IT — software-default, desk-based. dream — closes ~112, free to list on top."
13,NIT,"National Institute of Technology, Warangal",4124,Mathematics and Computing,Reach,"Top-5 NIT, home state. Home quota = big edge. Maths & Computing — places like CSE. reach (~283)."
14,NIT,Malaviya National Institute of Technology Jaipur,4110,Computer Science and Engineering,Out,"Top-15 NIT, far, brand-justified. CSE — best placements & most accessible for his condition. dream — closes ~74, free to list on top."
15,NIT,"National Institute of Technology, Tiruchirappalli",4114,Electronics and Communication Engineering,Out,"Top-5 NIT, South/Central. ECE — strong circuit branch, software-convertible. dream — closes ~80, free to list on top."
16,NIT,"Visvesvaraya National Institute of Technology, Nagpur",413Z,Computer Science and Engineering (Artificial Intelligence and Data Science),No-data,"Top-15 NIT, near Hyderabad. CSE+AI/DS — elite software placements, ideal desk-role fit. no PwD-cutoff history."
17,NIT,Motilal Nehru National Institute of Technology Allahabad,4110,Computer Science and Engineering,Out,"Top-15 NIT, far, brand-justified. CSE — best placements & most accessible for his condition. dream — closes ~79, free to list on top."
18,NIT,"National Institute of Technology Karnataka, Surathkal",4114,Electronics and Communication Engineering,Out,"Top-5 NIT, South/Central. ECE — strong circuit branch, software-convertible. dream — closes ~1795, free to list on top."
19,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4124,Mathematics and Computing,No-data,"Top-15 NIT, near Hyderabad. Maths & Computing — places like CSE. no PwD-cutoff history."
20,NIT,"National Institute of Technology, Warangal",410Z,Electronics and Communication Engineering (VLSI Design and Technology),Out,"Top-5 NIT, home state. Home quota = big edge. ECE-VLSI — chip/embedded, desk-based. dream — closes ~528, free to list on top."
21,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4110,Computer Science and Engineering,Out,"Top-15 NIT, far, brand-justified. CSE — best placements & most accessible for his condition. dream — closes ~175, free to list on top."
22,NIT,Malaviya National Institute of Technology Jaipur,411G,Artificial Intelligence and Data Engineering,Out,"Top-15 NIT, far, brand-justified. AI/Data Science — high-demand software track. dream — closes ~2522, free to list on top."
23,NIT,"National Institute of Technology, Rourkela",4114,Electronics and Communication Engineering,Out,"Top-5 NIT, South/Central. ECE — strong circuit branch, software-convertible. dream — closes ~232, free to list on top."
24,NIT,"National Institute of Technology, Tiruchirappalli",4144,Electrical and Electronics Engineering,Out,"Top-5 NIT, South/Central. EEE — solid circuit branch. dream — closes ~194, free to list on top."
25,NIT,Malaviya National Institute of Technology Jaipur,4124,Mathematics and Computing,No-data,"Top-15 NIT, far, brand-justified. Maths & Computing — places like CSE. no PwD-cutoff history."
26,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4110,Computer Science and Engineering,Reach,"Top-15 NIT, far, brand-justified. CSE — best placements & most accessible for his condition. reach (~795)."
27,NIT,"National Institute of Technology, Warangal",4114,Electronics and Communication Engineering,Out,"Top-5 NIT, home state. Home quota = big edge. ECE — strong circuit branch, software-convertible. dream — closes ~155, free to list on top."
28,NIT,"National Institute of Technology Karnataka, Surathkal",4144,Electrical and Electronics Engineering,Out,"Top-5 NIT, South/Central. EEE — solid circuit branch. dream — closes ~100, free to list on top."
29,NIT,"National Institute of Technology, Rourkela",4142,Electronics and Instrumentation Engineering,Out,"Top-5 NIT, South/Central. Electronics — circuit branch. dream — closes ~3932, free to list on top."
30,NIT,Motilal Nehru National Institute of Technology Allahabad,4124,Mathematics and Computing,No-data,"Top-15 NIT, far, brand-justified. Maths & Computing — places like CSE. no PwD-cutoff history."
31,NIT,"Visvesvaraya National Institute of Technology, Nagpur",411H,Electronics Engineering (VLSI Design and Technology),No-data,"Top-15 NIT, near Hyderabad. ECE-VLSI — chip/embedded, desk-based. no PwD-cutoff history."
32,NIT,National Institute of Technology Durgapur,4110,Computer Science and Engineering,Out,"Top-15 NIT, far, brand-justified. CSE — best placements & most accessible for his condition. dream — closes ~406, free to list on top."
33,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4185,Artificial Intelligence,Out,"Top-15 NIT, far, brand-justified. AI/Data Science — high-demand software track. dream — closes ~183, free to list on top."
34,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5B06,Artificial Intelligence,Out,"Top-15 NIT, far, brand-justified. AI/Data Science — high-demand software track. dream — closes ~473, free to list on top."
35,NIT,National Institute of Technology Calicut,4114,Electronics and Communication Engineering,Out,"Top-5 NIT, South/Central. ECE — strong circuit branch, software-convertible. dream — closes ~170, free to list on top."
36,NIT,"National Institute of Technology, Rourkela",4111,Electrical Engineering,Out,"Top-5 NIT, South/Central. EEE — solid circuit branch. dream — closes ~261, free to list on top."
37,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4124,Mathematics and Computing,Reach,"Top-15 NIT, far, brand-justified. Maths & Computing — places like CSE. reach (~306)."
